index,sentences,greeting,need:books,need:hats,need:balls,offer:books,offer:hats,offer:balls,inquiry,agreement
532,i'll give you 2 books and i'll take the rest . . .,,,,,,,,,
533,nope,,,,,,,,,
534,"i really need the ball , rest to you",,,,,,,,,
535,what would you like,,,,,,,,,
536,deal,,,,,,,,,
537,what would you like,,,,,,,,,
538,how about you get 3 hats,,,,,,,,,
539,no deal,,,,,,,,,
540,yes,,,,,,,,,
541,yes,,,,,,,,,
542,the balls and book,,,,,,,,,
543,ball to me or no deal,,,,,,,,,
544,agreed,,,,,,,,,
545,yes,,,,,,,,,
546,yup,,,,,,,,,
547,we can share the balls and i'll take the hats,,,,,,,,,
548,deal,,,,,,,,,
549,balls and books for me,,,,,,,,,
550,"balls for me , everything else for you",,,,,,,,,
551,what would you like ?,,,,,,,,,
552,how about both books and one basketball ? i keep the hat .,,,,,,,,,
553,i would like both books and the hat,,,,,,,,,
554,that deal works for me,,,,,,,,,
555,fine ! take 'em for all i care .,,,,,,,,,
556,i would like the ball and the hat .,,,,,,,,,
557,thanks honey .,,,,,,,,,
558,i would like the hats . i can offer you the rest .,,,,,,,,,
559,deal,,,,,,,,,
560,can you trade either a ball or hat for a book ?,,,,,,,,,
561,could you trade another book for a ball or is that too much ?,,,,,,,,,
562,"ok , so 1 book , 1 hat , 1 ball for me , 1 balls and 1 book for you ?",,,,,,,,,
563,"oops yeah sorry , meant to say 2 balls for you . wish this thing would let me type again haha .",,,,,,,,,
564,"cool , it'sa deal",,,,,,,,,
565,i'd like to get two basketballs and one hat,,,,,,,,,
566,i'll let go of the hat,,,,,,,,,
567,i need at least two basketballs,,,,,,,,,
568,yes so its 2 basketballs and 1 book for me . and you get 1 of each . is that okay with you ?,,,,,,,,,
569,yeah that works out for me,,,,,,,,,
570,what if i gave you the book and the hat and i'll take the 3 balls ?,,,,,,,,,
571,i get a ball and the book . you get 2 balls and the hat . is it a deal,,,,,,,,,
572,great,,,,,,,,,
573,fine,,,,,,,,,
574,"hi , i just need the hat",,,,,,,,,
575,"i can give you all the balls , but only 1 other item if i do . how does all the balls and 1 hat sound ?",,,,,,,,,
576,i would like all the balls and 2 other items of your choosing .,,,,,,,,,
577,"eh , i'll take it .",,,,,,,,,
578,hi i absolutely must have the book .,,,,,,,,,
579,ok that's good enough for me .,,,,,,,,,
580,"okay , if you take the book , i'll take the rest",,,,,,,,,
581,deal,,,,,,,,,
582,okay,,,,,,,,,
583,hi . ill take the books and you can have the rest,,,,,,,,,
584,"i can give you the book , and 2 basket balls . i get 2 basketballs and the hat",,,,,,,,,
585,"ok , then i get the book and the basketballs , correct ?",,,,,,,,,
586,ok deal,,,,,,,,,
587,i would like 1 of each,,,,,,,,,
588,"the hat is a deal breaker for me , i can take just that",,,,,,,,,
589,correct,,,,,,,,,
590,"you can have the hat , but i wanted the balls . how about i get all the balls and you get the rest ?",,,,,,,,,
591,that doesn't leave me with much . will you accept the book and 1 ball ?,,,,,,,,,
592,sorry i meant the hat and 1 ball . i'll take the books and 3 balls ?,,,,,,,,,
593,"hey there , i",,,,,,,,,
594,"sorry , accidentally hit enter . . . how about i take two hats and 1 ball ? or two balls and 1 hat ? i will let you keep the books .",,,,,,,,,
595,books have no value to me . you take books and 1 of either balls or hats . right down the middle .,,,,,,,,,
596,"hats have no value to you ; books have no value to me . . . this part is obvious . - - then we share the balls , 1 each .",,,,,,,,,
597,yep,,,,,,,,,
598,"ok , i would like the balls and books , you take the hats .",,,,,,,,,
599,"you take the hats and 1 book , i need the 2 balls and a book",,,,,,,,,
600,"hats have no value to me , i nee 2 balls and at least 1 book",,,,,,,,,
601,so i get 2 books and 1 ball ?,,,,,,,,,
602,ok deal,,,,,,,,,
603,i need both hats and a ball,,,,,,,,,
604,"okay , you take books and ball",,,,,,,,,
605,"i'll take the books , but need one hat or the ball",,,,,,,,,
606,if i can have the hats and the book you can have the balls,,,,,,,,,
607,thank you !,,,,,,,,,
608,ok deal,,,,,,,,,
609,thanks,,,,,,,,,
610,i will give you the hat and 2 balls but i want to keep the book and 1 ball,,,,,,,,,
611,i want the hat and book and a ball,,,,,,,,,
612,ok,,,,,,,,,
613,i would love the 4 hats,,,,,,,,,
614,sure,,,,,,,,,
615,how about i give you three of the hats and one ball ? and i take one book and one hat ?,,,,,,,,,
616,if i can have the hat i will give you everything else,,,,,,,,,
617,thank you !,,,,,,,,,
618,sure !,,,,,,,,,
619,i want one of each,,,,,,,,,
620,awesome !,,,,,,,,,
621,i agree .,,,,,,,,,
622,how about i get 1 hat and the book,,,,,,,,,
623,if i can have the balls and the hats you can have the book,,,,,,,,,
624,okay deal .,,,,,,,,,
625,i will take 2 books,,,,,,,,,
626,good,,,,,,,,,
627,deal .,,,,,,,,,
628,ball is worth much more to me,,,,,,,,,
629,split the balls and hats and you take the book ?,,,,,,,,,
630,i need the book and the balls you can have the hat,,,,,,,,,
631,i can't make a deal without the balls,,,,,,,,,
632,okay,,,,,,,,,
633,deal .,,,,,,,,,
634,ill give you the books if i can have the rest,,,,,,,,,
635,okay deal,,,,,,,,,
636,i need the hat and 1 ball,,,,,,,,,
637,the hat is only worth 1 point for me and the ball is only 1 point,,,,,,,,,
638,if i only get the hat i only have 1 point i at least need the book too to get two points please,,,,,,,,,
639,i need hat,,,,,,,,,
640,"ok , you get hat i get rest",,,,,,,,,
641,ok,,,,,,,,,
642,i need the hat and book,,,,,,,,,
643,"you take the balls , i get the rest",,,,,,,,,
644,ok deal,,,,,,,,,
645,i would like the book . how about i take both balls and you can get both hats ?,,,,,,,,,
646,sounds good .,,,,,,,,,
647,can i take the balls and the hats ?,,,,,,,,,
648,"sorry , can`t do that . really need them",,,,,,,,,
649,2 balls and one hat . i won`t go any low,,,,,,,,,
650,"no deal , that does not work for me . want the 2 balls and one hat . this is as low as i go",,,,,,,,,
651,"no deal then , sorry",,,,,,,,,
652,just hats,,,,,,,,,
653,just hats and one ball then,,,,,,,,,
654,how about two hats one ball,,,,,,,,,
655,yeah no deal,,,,,,,,,
656,no deal,,,,,,,,,
657,i'll take books and balls,,,,,,,,,
658,okay i get the hats and a book,,,,,,,,,
659,you want the hats ?,,,,,,,,,
660,we could probably split the books .,,,,,,,,,
661,sounds good,,,,,,,,,
662,"i'd like both balls , the rest to you",,,,,,,,,
663,"i'll take one ball , and one hat , the rest to you",,,,,,,,,
664,"aw , there's really no value in that for me . . any chance we can split these evenly down the middle ?",,,,,,,,,
665,"works for me , thank you !",,,,,,,,,
666,if i can have the two books and the ball i can part with the three hats,,,,,,,,,
667,okay so you will get the hats and i will get everything else,,,,,,,,,
668,great,,,,,,,,,
669,yep,,,,,,,,,
670,"i need 1 book , 1 hat and the balls",,,,,,,,,
671,okay,,,,,,,,,
672,i want 5 books in exchange for all the balls and 1 hat,,,,,,,,,
673,i can give you 1 hat and the balls i need the books,,,,,,,,,
674,deal,,,,,,,,,
675,i can let you have two of the hats if i get everything else .,,,,,,,,,
676,i want the hats .,,,,,,,,,
677,deal .,,,,,,,,,
678,i need the ball . you can have the rest .,,,,,,,,,
679,it's 10 points .,,,,,,,,,
680,no way to get that ball from you ?,,,,,,,,,
681,its yours .,,,,,,,,,
682,i need 1 ball 2 books,,,,,,,,,
683,dont need hats,,,,,,,,,
684,"as i said i dont need hats at all , i can either give you the ball and hats and i take just books",,,,,,,,,
685,yeah seems that way,,,,,,,,,
686,no deal,,,,,,,,,
687,i can not accept that deal . you can have the ball and one hat,,,,,,,,,
688,then we will have the split the difference you can have one book and one hat and ill take one book and the hat and the ball,,,,,,,,,
689,no deal . i don't think we are going to be able to make a deal because we both need the books,,,,,,,,,
690,okay no deal .,,,,,,,,,
691,i'm sorry . no deal .,,,,,,,,,
692,i can give you one hat and one ball,,,,,,,,,
693,i need the ball and the hats,,,,,,,,,
694,deal,,,,,,,,,
695,if i can have the balls and the hat you can have the books,,,,,,,,,
696,if that deal won't work for you then i would need the balls and you can have the rest,,,,,,,,,
697,i need both balls or no deal .,,,,,,,,,
698,"no , i'm sorry . the books are worthless to me .",,,,,,,,,
699,i can't do that . they are worth too much to me . if that does not work for you we are at a no deal .,,,,,,,,,
700,that won't work for me . do you like the hat or balls better ?,,,,,,,,,
701,you can have one ball and one hat - i'll take the rest .,,,,,,,,,
702,my books are only worth 3 - can't we trade two books for one of the balls ?,,,,,,,,,
703,no balls is not a fair deal for me . we should each get one ball .,,,,,,,,,
704,"that's unfortunate , but it seems that's just how it must be . no deal .",,,,,,,,,
705,what would you like,,,,,,,,,
706,i can give you the ball and only the ball,,,,,,,,,
707,ok fine adda book,,,,,,,,,
708,thats would leave me with two,,,,,,,,,
709,then leave me either the ball or the hat,,,,,,,,,
710,ok i take hat and three books,,,,,,,,,
711,"well i would love the ball , then either he hat or 3 books",,,,,,,,,
712,that will not work for me,,,,,,,,,
713,"no , add the hat",,,,,,,,,
714,"i take ball and hat , you get 3 books",,,,,,,,,
715,i give u hate,,,,,,,,,
716,no that wont work either,,,,,,,,,
717,could i have two books and a ball please ?,,,,,,,,,
718,i can live with that .,,,,,,,,,
719,i really need at least one book - how about we split all the items and take one of each ?,,,,,,,,,
720,ok,,,,,,,,,
721,take all the balls i keep everything else,,,,,,,,,
722,i want the hat and a book and a ball,,,,,,,,,
723,ok,,,,,,,,,
724,i can give you the hat and a book . this is fair points,,,,,,,,,
725,no you can have 2 hats,,,,,,,,,
726,no thats too much you can have only 3 hats or i walk away,,,,,,,,,
727,no that does not work you get 3 hats and i will tkae the rest,,,,,,,,,
728,to much you get 1 book only,,,,,,,,,
729,no deal,,,,,,,,,
730,no deal,,,,,,,,,
731,no deal,,,,,,,,,
732,nodeal,,,,,,,,,
733,"i want 1 book , and 2 balls",,,,,,,,,
734,no 2 balls and 3 hats,,,,,,,,,
735,"no way , that does not work how about you get 3 hats i will take the rest",,,,,,,,,
736,"no i get 1 book , 1 ball , and 2 hats",,,,,,,,,
737,"i will take the book and 3 hats , you take the balls",,,,,,,,,
738,"ok i will take 1 book , 1 hat , and 1 ball",,,,,,,,,
739,2 balls and 2 hats,,,,,,,,,
740,"i will take 1 ball and 1 book , you get the rest",,,,,,,,,
741,i'd like 1 book and 2 hats please,,,,,,,,,
742,"sorry , i need the book , and at least 1 hat or 1 basketball",,,,,,,,,
743,so i take 2 basketballs and 1 book and you get the hats ?,,,,,,,,,
744,deal,,,,,,,,,
745,no can do i need the hats and book,,,,,,,,,
746,you can have the basketball and the book i will take both hats,,,,,,,,,
747,yes,,,,,,,,,
748,i really could use anything . what is good for you ?,,,,,,,,,
749,how about i get 2 books and 1 ball,,,,,,,,,
750,ok deal . i get 2 books and a hat and you get 2 balls .,,,,,,,,,
751,"i'd like the two balls and hat , leaving you with the two books . would you be willing to do that ?",,,,,,,,,
752,can't do that . i'd be willing to give you both books and a hat . but i need both balls .,,,,,,,,,
753,"agreed , deal .",,,,,,,,,
754,i want the ball and 2 books,,,,,,,,,
755,i cant part with the ball,,,,,,,,,
756,ok deal,,,,,,,,,
757,i need the ball and the hat . would like a book as well .,,,,,,,,,
758,if i give you the ball i would need the hat and all the books .,,,,,,,,,
759,okay great ! thank you !,,,,,,,,,
760,"hi there ! id like the book , you can have everything else .",,,,,,,,,
761,i'm afraid not . i can let you have all the hats if i get the ball and both books .,,,,,,,,,
762,i need the ball . i can let you have a book and two hats .,,,,,,,,,
763,"okay , lets try this . i get both books and a hat . you get the rest .",,,,,,,,,
764,"can i get a ball , a hat and a book ?",,,,,,,,,
765,"cant do that . . . . . ball , hat and book get me 6 / 10",,,,,,,,,
766,that only gives me 3 / 10 . . . . . i'll have to pass,,,,,,,,,
767,ok,,,,,,,,,
768,well lets hear your offer .,,,,,,,,,
769,done !,,,,,,,,,
770,"i would like the 2 balls , you could have the rest",,,,,,,,,
771,i'll give you the ball and two books if you give me both hats,,,,,,,,,
772,yeah i think that might be my final,,,,,,,,,
773,"can i have the ball , 1 book and 1 hat",,,,,,,,,
774,"ok i do need the ball , and i could deal with 2 books also , is that your final offer ? or can we trade a hat for a book ?",,,,,,,,,
775,i would like the hat and the book .,,,,,,,,,
776,"ok , deal .",,,,,,,,,
777,i need the book and a ball,,,,,,,,,
778,i will take 1 book and 1 ball,,,,,,,,,
779,i only need the book .,,,,,,,,,
780,i need the book . you can have the hats and the balls .,,,,,,,,,
781,thats the only thing that will work for me .,,,,,,,,,
782,the book is the only thing of value to me .,,,,,,,,,
783,thank you .,,,,,,,,,
784,i only need the book ?,,,,,,,,,
785,that will not work for me,,,,,,,,,
786,how about i take the book and you get the rest ?,,,,,,,,,
787,ok this time i will bite the dust take the book,,,,,,,,,
788,"books have no use to me ; any chance you can allow me the balls and 1 hat , you keep the 2 books and 1 hat ?",,,,,,,,,
789,"the books are of no use to me . . . you can keep everything , i'll just take the balls if you cannot part with a hat .",,,,,,,,,
790,i want 2 hats and 1 book,,,,,,,,,
791,i need 2 hats - you keep the rest,,,,,,,,,
792,okay - you get 2 balls,,,,,,,,,
793,how about youhave two balls two hats and i'll go ahead and keep that book and one ball .,,,,,,,,,
794,i'll take the balls and one book,,,,,,,,,
795,ok that works for me,,,,,,,,,
796,fari deal .,,,,,,,,,
797,i need ball and 2 hats,,,,,,,,,
798,i would like the books and the hat and at least one ball .,,,,,,,,,
799,"ok , i guess that works .",,,,,,,,,
800,"i can't do that , i will give you all the balls and one book , for the hat and one book .",,,,,,,,,
801,deal .,,,,,,,,,
802,i cannot give up the book . i would need a book and a hat,,,,,,,,,
803,deal,,,,,,,,,
804,"i'l take the book , a hat , and a ball",,,,,,,,,
805,how about a book and a ball ?,,,,,,,,,
806,hello ! i would like the books and the rest is negotiable . what works best for you ?,,,,,,,,,
807,"how would you feel about splitting it all down the middle ? 1 book , 1 hat , 1 ball , other person gets 1 book , 2 hats ?",,,,,,,,,
808,"hats or ball worth any more for you ? or should i just take the 2 hats , and book , you take 1 of each ?",,,,,,,,,
809,i'm not so sure about giving you the books,,,,,,,,,
810,ok,,,,,,,,,
811,i'll take 2 hats,,,,,,,,,
812,hi . . . id like both hats and a ball,,,,,,,,,
813,"yes two hats and one ball for me , a ball and the book for you",,,,,,,,,
814,care to counter or make an offer ? its not my job . give me two hats and we'r done,,,,,,,,,
815,deal,,,,,,,,,
816,one ball,,,,,,,,,
817,no deal,,,,,,,,,
818,ok you get two hats,,,,,,,,,
819,"book to me , all else to you",,,,,,,,,
820,deal,,,,,,,,,
821,could i please have the ball a hat and one book,,,,,,,,,
822,alright you take the ball and i'll take the rest .,,,,,,,,,
823,well the ball aint worth the much on its own to me so lets just divide it up if you get the ball and one hat i need all three books and one of the hats,,,,,,,,,
824,"if you take the ball , i need the rest",,,,,,,,,
825,"no , my ball isn't worth enough on it's own i would need a hat with it",,,,,,,,,
826,deal,,,,,,,,,
827,you can have all those hats in exchange for the book and ball .,,,,,,,,,
828,i get the book for the ball,,,,,,,,,
829,i need the balls as well . can i have two balls and one hat and the books ?,,,,,,,,,
830,i do not think we can reach a deal . no deal .,,,,,,,,,
831,you can have one ball and two hats,,,,,,,,,
832,i would like the balls and one hat,,,,,,,,,
833,no deal that would give me 3 points . i need 2 balls and 1 hat,,,,,,,,,
834,"i am willing to take 1 ball and eithr both hats or both books , your choice",,,,,,,,,
835,i need the hats and the book,,,,,,,,,
836,great,,,,,,,,,
837,"well that works perfect for me , i need the 2 balls",,,,,,,,,
838,deal i get both balls and you get the rest ?,,,,,,,,,
