g,dialog,selection,reward,outcome
1 0 2 2 3 2 ,"[""YOU: i'd like the balls for sure ; i'd like a hat but only if they're not of value to you . "", ' THEM: i need both hats and a book if you want all the balls ', ' YOU: oh fine ', ' THEM: so 3 balls for you , the rest to me ? ', ' YOU: yep , deal ']", item0=0 item1=0 item2=3 ,6 agree, 1 3 2 2 3 1
1 0 4 1 1 6 ,"['THEM: what do you want ? ', ' YOU: ideal would be the ball and two hats . ', "" THEM: i'd need the book at 3 hats to be at 6 . that's the best i can do . "", "" YOU: deal , i'll take the ball and one hat . ""]", item0=0 item1=1 item2=1 ,7 agree, 1 3 4 1 1 3
1 3 4 1 1 3 ,"['YOU: what do you want ? ', ' THEM: ideal would be the ball and two hats . ', "" YOU: i'd need the book at 3 hats to be at 6 . that's the best i can do . "", "" THEM: deal , i'll take the ball and one hat . ""]", item0=1 item1=3 item2=0 ,6 agree, 1 0 4 1 1 6
1 5 1 2 3 1 ,"['YOU: the book and hat for me ', ' THEM: hat and two balls for me ', ' YOU: deal ']", item0=1 item1=0 item2=1 ,6 agree, 1 3 1 4 3 1
1 3 1 4 3 1 ,"['THEM: the book and hat for me ', ' YOU: hat and two balls for me ', ' THEM: deal ']", item0=0 item1=1 item2=2 ,6 agree, 1 5 1 2 3 1
2 1 3 2 1 2 ,"[""THEM: i'd like the ball and one hat "", ' YOU: it would be hard for me to part with a hat . how about you get the ball and both books , and i keep the hats . ', "" THEM: find , , ill just get the ball . i don't need the books "", ' YOU: okay , deal . ']", item0=2 item1=3 item2=0 ,8 agree, 2 0 3 1 1 7
2 0 3 1 1 7 ,"[""YOU: i'd like the ball and one hat "", ' THEM: it would be hard for me to part with a hat . how about you get the ball and both books , and i keep the hats . ', "" YOU: find , , ill just get the ball . i don't need the books "", ' THEM: okay , deal . ']", item0=0 item1=0 item2=1 ,7 agree, 2 1 3 2 1 2
1 0 2 2 3 2 ,"['THEM: i do a lot of reading outside and could really use a book and a hat . ', ' YOU: that works , i could definitely put a hat and the basketballs to use . ', ' THEM: basketballs with hats on them are so cute . thanks ']", item0=0 item1=1 item2=3 ,8 agree, 1 4 2 3 3 0
1 4 2 3 3 0 ,"['YOU: i do a lot of reading outside and could really use a book and a hat . ', ' THEM: that works , i could definitely put a hat and the basketballs to use . ', ' YOU: basketballs with hats on them are so cute . thanks ']", item0=1 item1=1 item2=0 ,7 agree, 1 0 2 2 3 2
1 2 3 0 2 4 ,"[""YOU: i'd like to have 2 balls , please . you can have the rest "", ' THEM: that sounds ok ']", item0=0 item1=0 item2=2 ,8 agree, 1 5 3 1 2 1
1 5 3 1 2 1 ,"[""THEM: i'd like to have 2 balls , please . you can have the rest "", ' YOU: that sounds ok ']", item0=1 item1=3 item2=0 ,8 agree, 1 2 3 0 2 4
1 7 2 0 3 1 ,"[""THEM: i'd like the two hats and the book . "", ' YOU: can i have the the book , one hat and one ball ', ' THEM: you can have the three balls and a hat but i need that book . ', ' YOU: i really need that book too , you take book i take the rest ', ' THEM: deal . i get the book you can have the rest . ']", item0=0 item1=2 item2=3 ,3 agree, 1 8 2 1 3 0
1 8 2 1 3 0 ,"[""YOU: i'd like the two hats and the book . "", ' THEM: can i have the the book , one hat and one ball ', ' YOU: you can have the three balls and a hat but i need that book . ', ' THEM: i really need that book too , you take book i take the rest ', ' YOU: deal . i get the book you can have the rest . ']", item0=1 item1=0 item2=0 ,8 agree, 1 7 2 0 3 1
3 1 1 7 2 0 ,"['THEM: i would like hat and 2 balls ', ' YOU: i would like the hat , the rest to you ', ' THEM: i accept ']", item0=0 item1=1 item2=0 ,7 agree, 3 0 1 2 2 4
3 0 1 2 2 4 ,"['YOU: i would like hat and 2 balls ', ' THEM: i would like the hat , the rest to you ', ' YOU: i accept ']", item0=3 item1=0 item2=2 ,8 agree, 3 1 1 7 2 0
1 6 2 1 2 1 ,"['YOU: i like 1 book 1 hat and 1 ball ', ' THEM: i can offer 2 balls ', ' YOU: i really need that book more then balls ', ' THEM: i can offer the book and 1 ball ', ' YOU: ok , deal ']", item0=1 item1=0 item2=1 ,7 agree, 1 2 2 4 2 0
1 2 2 4 2 0 ,"['THEM: i like 1 book 1 hat and 1 ball ', ' YOU: i can offer 2 balls ', ' THEM: i really need that book more then balls ', ' YOU: i can offer the book and 1 ball ', ' THEM: ok , deal ']", item0=0 item1=2 item2=1 ,8 agree, 1 6 2 1 2 1
3 1 1 5 1 2 ,"['THEM: i would like the books and the ball . ', ' YOU: i can give you the books . i need the hat and ball ', ' THEM: are you sure you split with the ball . . ', ' YOU: i need it and the hat ', ' THEM: okay - as long as i get the books thats fine . ', ' YOU: deal ']", item0=0 item1=1 item2=1 ,7 agree, 3 3 1 0 1 1
3 3 1 0 1 1 ,"['YOU: i would like the books and the ball . ', ' THEM: i can give you the books . i need the hat and ball ', ' YOU: are you sure you split with the ball . . ', ' THEM: i need it and the hat ', ' YOU: okay - as long as i get the books thats fine . ', ' THEM: deal ']", item0=3 item1=0 item2=0 ,9 agree, 3 1 1 5 1 2
1 1 3 0 1 9 ,"['YOU: you take the hats and i will take the book and the ball ', ' THEM: no deal . i want the book and the hats . ', ' YOU: okay ']", item0=0 item1=0 item2=1 ,9 agree, 1 5 3 1 1 2
1 5 3 1 1 2 ,"['THEM: you take the hats and i will take the book and the ball ', ' YOU: no deal . i want the book and the hats . ', ' THEM: okay ']", item0=1 item1=3 item2=0 ,8 agree, 1 1 3 0 1 9
4 0 1 5 1 5 ,"['THEM: what do you need ? ', ' YOU: i need the hat and ball you can have all the books ', "" THEM: that's not gonna work for me . i've got some flexibility , but not that . what else can you do ? "", "" YOU: why don't you make me an offer "", ' THEM: all books and the hat ? ', ' YOU: not gonna happen , i have no wiggle room i need the hat and the ball ', "" THEM: well then why would i make you an offer ? that's the same thing you said before ! "", ' YOU: that is my only offer ', ' THEM: then no . ', ' YOU: no deal ']", no agreement ,no agreement agree, 4 1 1 4 1 2
4 1 1 4 1 2 ,"['YOU: what do you need ? ', ' THEM: i need the hat and ball you can have all the books ', "" YOU: that's not gonna work for me . i've got some flexibility , but not that . what else can you do ? "", "" THEM: why don't you make me an offer "", ' YOU: all books and the hat ? ', ' THEM: not gonna happen , i have no wiggle room i need the hat and the ball ', "" YOU: well then why would i make you an offer ? that's the same thing you said before ! "", ' THEM: that is my only offer ', ' YOU: then no . ', ' THEM: no deal ']", no agreement ,no agreement agree, 4 0 1 5 1 5
3 2 2 1 2 1 ,"['YOU: i would all the books and one ball and one hat ', ' THEM: you can take all the books but i would like 2 balls at least and one hat ', ' YOU: ok i will take the 3 books and one hat ', ' THEM: cool done deal ! ']", item0=3 item1=1 item2=0 ,7 agree, 3 0 2 2 2 3
3 0 2 2 2 3 ,"['THEM: i would all the books and one ball and one hat ', ' YOU: you can take all the books but i would like 2 balls at least and one hat ', ' THEM: ok i will take the 3 books and one hat ', ' YOU: cool done deal ! ']", item0=0 item1=1 item2=2 ,8 agree, 3 2 2 1 2 1
1 0 2 1 2 4 ,"['THEM: can i have balls ? you can have the rest . ', ' YOU: i need the balls as well . can we split the difference ? ', ' THEM: ok . can i have 1 ball , 1 hat , and 1 book ? ', ' YOU: i would need the ball and two hats in order to make it work and that is giving me a very low score ', ' THEM: ok . i can take 1 ball and the book . ', ' YOU: okay thank you ! ']", item0=0 item1=2 item2=1 ,6 agree, 1 2 2 1 2 3
1 2 2 1 2 3 ,"['YOU: can i have balls ? you can have the rest . ', ' THEM: i need the balls as well . can we split the difference ? ', ' YOU: ok . can i have 1 ball , 1 hat , and 1 book ? ', ' THEM: i would need the ball and two hats in order to make it work and that is giving me a very low score ', ' YOU: ok . i can take 1 ball and the book . ', ' THEM: okay thank you ! ']", item0=1 item1=0 item2=1 ,5 agree, 1 0 2 1 2 4
1 2 2 0 4 2 ,"['YOU: hi , can i have all the balls ? ', ' THEM: sure , deal ']", item0=0 item1=0 item2=4 ,8 agree, 1 4 2 3 4 0
1 4 2 3 4 0 ,"['THEM: hi , can i have all the balls ? ', ' YOU: sure , deal ']", item0=1 item1=2 item2=0 ,10 agree, 1 2 2 0 4 2
4 0 1 5 1 5 ,"['THEM: if i can get the books you can have the rest ', ' YOU: deal ! ']", item0=0 item1=1 item2=1 ,10 agree, 4 2 1 0 1 2
4 2 1 0 1 2 ,"['YOU: if i can get the books you can have the rest ', ' THEM: deal ! ']", item0=4 item1=0 item2=0 ,8 agree, 4 0 1 5 1 5
1 10 3 0 2 0,"[' YOU: if i can have the book , you can have the rest ', ' THEM: okay that works ! thank you ! ']", item0=1 item1=0 item2=0 ,10 agree, 1 3 3 1 2 2
1 3 3 1 2 2 ,"['THEM: if i can have the book , you can have the rest ', ' YOU: okay that works ! thank you ! ']", item0=0 item1=3 item2=2 ,7 agree ,1 10 3 0 2 0
1 9 1 1 3 0 ,"['THEM: i would like all the balls and the hat . ', ' YOU: can i have the book and the hat ? ', ' THEM: deal . ']", item0=1 item1=1 item2=0 ,10 agree, 1 0 1 1 3 3
1 0 1 1 3 3 ,"['YOU: i would like all the balls and the hat . ', ' THEM: can i have the book and the hat ? ', ' YOU: deal . ']", item0=0 item1=0 item2=3 ,9 agree, 1 9 1 1 3 0
3 0 3 2 1 4 ,"['YOU: hi i would like the ball and hats and you can have the books ', "" THEM: give me atleast 2 hats then works for me otherwise i don't get anything cause i need the ball too "", ' YOU: sorry that wont work for me . no deal ']", item0=0 item1=3 item2=1 ,10 disagree, 3 1 3 1 1 4
3 2 1 2 2 1 ,"['YOU: i need the books and the hat ', ' THEM: eh everything really low for me i can give you the books ', ' YOU: i need the books and 1 ball ', ' THEM: that leave me with only few points , i really cant afford give up the balls or hat at all ', ' YOU: i will take the books , you take the rest ']", item0=3 item1=0 item2=0 ,6 agree, 3 0 1 4 2 3
3 0 1 4 2 3 ,"['THEM: i need the books and the hat ', ' YOU: eh everything really low for me i can give you the books ', ' THEM: i need the books and 1 ball ', ' YOU: that leave me with only few points , i really cant afford give up the balls or hat at all ', ' THEM: i will take the books , you take the rest ']", item0=0 item1=1 item2=2 ,10 agree, 3 2 1 2 2 1
3 0 1 0 1 10,"[' YOU: hi , i need the ball . ', ' THEM: ok just the ball then ', ' YOU: yes , just the ball is enough for me . ', ' THEM: ok ']", item0=0 item1=0 item2=1 ,10 agree, 3 2 1 2 1 2
3 2 1 2 1 2 ,"['THEM: hi , i need the ball . ', ' YOU: ok just the ball then ', ' THEM: yes , just the ball is enough for me . ', ' YOU: ok ']", item0=3 item1=1 item2=0 ,8 agree ,3 0 1 0 1 10
1 1 1 6 3 1 ,"['THEM: can i have the book and hat , you keep the balls ? ', ' YOU: that doesnt work for me ', "" THEM: hmm , need the book ; what's your offer ? "", ' YOU: i get the rest ']", item0=1 item1=0 item2=3 ,4 disagree, 1 8 1 2 3 0
1 8 1 2 3 0 ,"['YOU: can i have the book and hat , you keep the balls ? ', ' THEM: that doesnt work for me ', "" YOU: hmm , need the book ; what's your offer ? "", ' THEM: i get the rest ']", item0=1 item1=0 item2=0 ,8 disagree, 1 1 1 6 3 1
3 0 1 2 2 4 ,"[""THEM: i'd like balls . you can have rest . "", ' YOU: sure ']", item0=3 item1=1 item2=0 ,2 agree, 3 1 1 1 2 3
3 1 1 1 2 3 ,"[""YOU: i'd like balls . you can have rest . "", ' THEM: sure ']", item0=0 item1=0 item2=2 ,6 agree, 3 0 1 2 2 4
1 10 1 0 3 0,"[' YOU: i would like the book and the hat . ', "" THEM: i'd like the book and a ball "", ' YOU: sorry , i need the book . ', "" THEM: same . i don't think i can make a deal without the book . you sure you can't take the hat and even all three balls ? "", "" YOU: positive . i can take the book and give you the rest even . that's the only option i have . "", "" THEM: honestly that's the only option i have as well . no deal . "", ' YOU: no problem . no deal then . ', ' THEM: i think we have to wait a moment for it to let us select no deal ', "" YOU: i think if we send a certain amount of messages it'll pop up . no deal . "", ' THEM: agreed , no deal ']", no agreement ,no agreement agree, 1 6 1 1 3 1
1 6 1 1 3 1 ,"['THEM: i would like the book and the hat . ', "" YOU: i'd like the book and a ball "", ' THEM: sorry , i need the book . ', "" YOU: same . i don't think i can make a deal without the book . you sure you can't take the hat and even all three balls ? "", "" THEM: positive . i can take the book and give you the rest even . that's the only option i have . "", "" YOU: honestly that's the only option i have as well . no deal . "", ' THEM: no problem . no deal then . ', ' YOU: i think we have to wait a moment for it to let us select no deal ', "" THEM: i think if we send a certain amount of messages it'll pop up . no deal . "", ' YOU: agreed , no deal ']", no agreement ,no agreement agree ,1 10 1 0 3 0
2 4 1 0 2 1 ,"['YOU: i want the books and one ball ', ' THEM: i need the hat and at least one book ', ' YOU: ok , deal ']", item0=1 item1=0 item2=2 ,6 agree, 2 2 1 6 2 0
2 2 1 6 2 0 ,"['THEM: i want the books and one ball ', ' YOU: i need the hat and at least one book ', ' THEM: ok , deal ']", item0=1 item1=1 item2=0 ,8 agree, 2 4 1 0 2 1
2 3 2 2 3 0 ,"['YOU: i would like just 2 books and 1 hat ', ' THEM: and i can have 1 hat and 3 balls ? ', ' YOU: actually i would like 2 books and 2 hats ? ', ' THEM: no sorry , i dont mind the books but i need 1 hat ', ' YOU: ok ill keep 2 books and 1 hat u have the rest ', ' THEM: thanks ']", item0=2 item1=1 item2=0 ,8 agree, 2 1 2 1 3 2
2 1 2 1 3 2 ,"['THEM: i would like just 2 books and 1 hat ', ' YOU: and i can have 1 hat and 3 balls ? ', ' THEM: actually i would like 2 books and 2 hats ? ', ' YOU: no sorry , i dont mind the books but i need 1 hat ', ' THEM: ok ill keep 2 books and 1 hat u have the rest ', ' YOU: thanks ']", item0=0 item1=1 item2=3 ,7 agree, 2 3 2 2 3 0
2 2 1 6 3 0 ,"['YOU: which items do you want ? ', ' THEM: the balls and a book ', "" YOU: how about you take two balls and one book and i'll take one ball one hat and one book ? "", ' THEM: deal ']", item0=1 item1=1 item2=1 ,8 agree, 2 2 1 0 3 2
2 2 1 0 3 2 ,"['THEM: which items do you want ? ', ' YOU: the balls and a book ', "" THEM: how about you take two balls and one book and i'll take one ball one hat and one book ? "", ' YOU: deal ']", item0=1 item1=0 item2=2 ,6 agree, 2 2 1 6 3 0
2 0 2 1 1 8 ,"['YOU: how about you take the books , i take the rest ', ' THEM: not going to work , i need atlest one hat and the ball ', ' YOU: i need the ball and you can have the rest ', "" THEM: i'll take that deal ""]", item0=0 item1=0 item2=1 ,8 agree, 2 1 2 2 1 4
2 1 2 2 1 4 ,"['THEM: how about you take the books , i take the rest ', ' YOU: not going to work , i need atlest one hat and the ball ', ' THEM: i need the ball and you can have the rest ', "" YOU: i'll take that deal ""]", item0=2 item1=2 item2=0 ,6 agree, 2 0 2 1 1 8
1 7 1 3 4 0 ,"['YOU: i need the book and the hat you can have the rest ', ' THEM: i cannot give up the hat and the book ', ' YOU: then i need the book and 3 balls ', ' THEM: you can have the book and two balls ', ' YOU: deal ']", item0=1 item1=0 item2=2 ,7 disagree, 1 3 1 3 4 1
1 3 1 3 4 1 ,"['THEM: i need the book and the hat you can have the rest ', ' YOU: i cannot give up the hat and the book ', ' THEM: then i need the book and 3 balls ', ' YOU: you can have the book and two balls ', ' THEM: deal ']", item0=1 item1=0 item2=2 ,5 disagree, 1 7 1 3 4 0
2 1 2 3 1 2 ,"['THEM: give me your books and ill give you hats and ball ', ' YOU: deal . ']", item0=0 item1=2 item2=1 ,8 disagree, 2 4 2 0 1 2
2 4 2 0 1 2 ,"['YOU: give me your books and ill give you hats and ball ', ' THEM: deal . ']", item0=2 item1=2 item2=1 ,10 disagree, 2 1 2 3 1 2
1 10 2 0 4 0,"[' YOU: book and two balls for me ', ' THEM: how about book and 1 ball , i get the rest ', ' YOU: ok deal ']", item0=1 item1=0 item2=1 ,10 agree, 1 2 2 2 4 1
1 2 2 2 4 1 ,"['THEM: book and two balls for me ', ' YOU: how about book and 1 ball , i get the rest ', ' THEM: ok deal ']", item0=0 item1=2 item2=3 ,7 agree ,1 10 2 0 4 0
2 0 1 1 3 3 ,"['YOU: can i get the balls and the hat ? ', "" THEM: my kid brother's birthday is tomorrow and i havent had time to shop . we will need to split the balls . i don ; t need the hat but i do love to read "", ' YOU: ok , how about i take the hat and two balls and you take the rest ? ', ' THEM: how about i get 2 balls and the books and you get the rest ? ', ' YOU: no . i actually need the balls more than the hat . i really should keep them all . ', "" THEM: alright i'm feeling nice tonight . i will take the books and 1 ball ""]", item0=0 item1=1 item2=2 ,7 agree, 2 2 1 0 3 2
2 2 1 0 3 2 ,"['THEM: can i get the balls and the hat ? ', "" YOU: my kid brother's birthday is tomorrow and i havent had time to shop . we will need to split the balls . i don ; t need the hat but i do love to read "", ' THEM: ok , how about i take the hat and two balls and you take the rest ? ', ' YOU: how about i get 2 balls and the books and you get the rest ? ', ' THEM: no . i actually need the balls more than the hat . i really should keep them all . ', "" YOU: alright i'm feeling nice tonight . i will take the books and 1 ball ""]", item0=2 item1=0 item2=1 ,6 agree, 2 0 1 1 3 3
2 2 3 1 1 3 ,"['THEM: ill take the ball and the books ', ' YOU: i can let you have the ball , but only if i get everything else . ', ' THEM: no you get 5 i get 1 no deal ', ' YOU: we can split 3 and 3 - - you take the hats , i get the books and ball . ', ' THEM: no deal you take the hats ill take the ball and books ', "" YOU: back to where we started . you can have a book and a hat , i'll take the rest . "", ' THEM: no so i get 2 you get 4 no deal ', ' YOU: the number of items hardly matters , only their values . ', ' THEM: i dont care i want the ball and book so if youre not giving me that no deal ', ' YOU: best i can do is give you the ball and one hat . ', ' THEM: best i can give you is nothing ']", no agreement ,no agreement disagree, 2 2 3 1 1 3
