index,sentences,template
2654,no deal,_nodeal 
2661,deal .,_deal 
2662,any chance you can leave the books to me and take the hats and the ball ?,_need (_books:all ) _offer (_hats:all _balls:all) 
2665,deal,_deal 
2676,deal .,_deal 
2680,deal,_deal 
2690,book for me and 2 hats rest for you,_need (_books:1 _hats:2 ) _offer (_books:rest _hats:rest _balls:rest) 
2691,deal,_deal 
2694,"ok , deal",_deal 
2698,lol no,_nodeal 
2702,2 books and a ball ?,_misc (_books:2 _balls:1) 
2711,4 hats and no ball ?,_misc (_hats:4 _balls:0) 
2712,deal !,_deal 
2715,no deal,_nodeal 
2718,deal .,_deal 
2728,thx,_deal _thanks 
2729,deal .,_deal 
2740,no deal .,_nodeal 
2742,2 books and hat for you . deal,_deal _offer (_books:2 _hats:1 ) 
2743,no deal .,_nodeal 
2753,ball and one hat for you then,_offer (_hats:1 _balls:1) 
2755,deal,_deal 
2757,deal,_deal 
2760,deal,_deal 
2762,thx,_deal _thanks 
2763,okay deal,_deal 
2776,sure,_deal 
2781,"actually , i'll let you have 1 book and 3 balls . i'll take 1 ball , and 1 hat , and 1 book .",_need (_books:1 _hats:1 _balls:1) _offer (_books:1 _balls:3) 
2785,"alright , that sounds good . thank you !",_deal 
2788,no deal,_nodeal 
2789,no deal,_nodeal 
2791,no deal,_nodeal 
2794,then no deal,_nodeal 
2795,no deal,_nodeal 
2799,deal .,_deal 
2803,agreed,_deal 
2805,no deal,_nodeal 
2809,cool,_deal 
2815,ok,_deal 
2817,deal,_deal 
2819,deal,_deal 
2825,no deal .,_nodeal 
2834,okay,_deal 
2839,no deal thn,_nodeal 
2843,no deal,_nodeal 
2844,no deal,_nodeal 
2856,"ok , deal .",_deal 
2867,no deal,_nodeal 
2875,deal !,_deal 
2877,deal .,_deal 
2882,okay deal,_deal 
2890,"alright , i'll tell you what . . . . i'll give ya all the balls and just keep the rest of the junk",_counteroffer _need (_books:rest _hats:rest _balls:rest) _offer (_balls:all) 
2891,"ah come on , man , these balls were signed by lebron jordan ! you know they're gonna be big on the open market !",_misc (_balls:all) 
2896,ball to me then,_need (_balls:1) 
2903,ok deal,_deal 
2907,book and ball to me,_need (_books:1 _balls:1) 
2910,no deal,_nodeal 
2912,agreed,_deal 
2914,"book and one hat , i will take ball and two hats .",_need (_hats:2 _balls:1) _offer (_books:1 _hats:1 ) 
2916,best i can do is ball and two hats or book and one hat .,_misc (_hats:2 _balls:1) 
2917,no deal,_nodeal 
2920,"ball is worth a small amount , id really just like the book",_need (_books:1 ) 
2921,are the hats worth anything to you ?,_misc (_hats:all ) 
2930,okay,_deal 
2935,no deal,_nodeal 
2936,no deal,_nodeal 
2937,no deal,_nodeal 
2941,yep,_deal 
2942,agree,_deal 
2943,"absolutely not . i'm taking that book , you can have the rest if you'd like .",_counteroffer _need (_books:1 ) _offer (_books:rest _hats:rest _balls:rest) 
2954,no deal .,_nodeal 
2955,no deal .,_nodeal 
2956,no deal .,_nodeal 
2959,agreed,_deal 
2960,yup,_deal 
2961,ball is needed,_need (_balls:1) 
2975,ok,_deal 
2980,deal,_deal 
2986,thank you,_deal _thanks 
2992,deal !,_deal 
2995,yes,_deal 
2998,ok deal,_deal 
3002,ok,_deal 
3004,are you sure i can't have one book ?,_need (_books:1 ) 
3005,ok deal,_deal 
3011,deal,_deal 
3012,3 books,_misc (_books:3 ) 
3014,deal,_deal 
3019,deal,_deal 
3023,deal .,_deal 
3034,deal,_deal 
3035,deal,_deal 
3042,deal,_deal 
3050,deal .,_deal 
3053,agreed that is fine,_deal 
3063,no deal,_nodeal 
3068,yep,_deal 
3071,agreed,_deal 
3073,yup,_deal 
3076,okay great ! thank you !,_deal 
3080,no,_nodeal 
3082,great,_deal 
3087,ok,_deal 
3091,deal,_deal 
3092,deal,_deal 
3102,ok deal,_deal 
3106,agreed,_deal 
3107,gov't,_nodeal 
3119,deal .,_deal 
3128,no deal,_nodeal 
3134,ok thanks,_deal 
3136,alrighty sounds good .,_deal 
3140,deal . thank you .,_deal _thanks 
3142,ok,_deal 
3148,yes,_deal 
3151,deal .,_deal 
3161,deal .,_deal 
3163,deal,_deal 
3168,ok,_deal 
3171,yes,_deal 
3179,okay,_deal 
3182,okay great ! thank you !,_deal 
3186,alright .,_deal 
3188,all i need is the book,_need (_books:1 ) 
3189,cool,_deal 
3191,done thankls,_deal 
3192,3 hats a 1 ball are yours,_offer (_hats:3 _balls:1) 
3196,all your balls . . .,_misc (_balls:all) 
3202,deal,_deal 
3206,agreed . no deal,_nodeal 
3209,books and hat for me,_need (_books:all _hats:1 ) 
3213,great,_deal 
3223,"ok , no deal",_nodeal 
3227,hi,_greeting 
3238,appreciate it ! deal !,_deal _thanks 
3242,deal,_deal 
3250,"balls are only 1 for me , so can't do that",_nodeal 
3255,deal,_deal 
3259,no,_nodeal 
3280,ok deal,_deal 
3281,no,_nodeal 
3288,okay,_deal 
3290,ok,_deal 
3296,deal,_deal 
3303,deal . take care .,_deal 
3307,deal,_deal 
3313,thank you !,_deal 
3314,deal,_deal 
3316,thanks,_deal _thanks 
3318,ok,_deal 
3326,deal,_deal 
3331,deal,_deal 
3338,and also one ball ?,_misc (_balls:1) 
3357,deal,_deal 
3359,deal,_deal 
3362,deal,_deal 
3368,okay,_deal 
3369,1 book 2 hats,_misc (_books:1 _hats:2 ) 
3370,ok,_deal 
3372,deal,_deal 
3373,2 balls,_misc (_balls:2) 
3376,and i keep the rest,_need (_books:rest _hats:rest _balls:rest) 
3381,ok no deal,_nodeal 
3388,deal !,_deal 
3392,okay,_deal 
3402,no deal .,_nodeal 
3404,sounds good,_deal 
3406,deal !,_deal 
3412,deal,_deal 
3416,deal,_deal 
3419,i can do that,_deal 
3424,okay great ! thank you !,_deal 
3430,book and one ball,_misc (_books:1 _balls:1) 
3433,ok deal,_deal 
3436,sure,_deal 
3438,and i can have the rest ?,_need (_books:rest _hats:rest _balls:rest) 
3446,okay,_deal 
3448,okay great ! thank you !,_deal 
3453,deal,_deal 
3455,all balls and books to me,_need (_books:all _balls:all) 
3458,yes,_deal 
3465,sounds good .,_deal 
3467,okay,_deal 
3481,thank you .,_deal 
3484,ok deal,_deal 
3486,okay great ! thank you !,_deal 
3492,deal,_deal 
3505,ok,_deal 
3506,agreed,_deal 
3510,no deal,_nodeal 
3528,ok no deal,_nodeal 
3529,no deal,_nodeal 
3530,yep,_deal 
3534,agree,_deal 
3535,okay,_deal 
3537,deal,_deal 
3538,thx,_deal _thanks 
3540,deal,_deal 
3548,basically i am giving you everything but the books,_need (_books:all ) _offer (_books:rest _hats:rest _balls:rest) 
3566,no deal .,_nodeal 
3574,deal .,_deal 
3575,book and 2 balls to me,_need (_books:1 _balls:2) 
3592,no deal,_nodeal 
3593,no deal,_nodeal 
3597,no deal,_nodeal 
3598,no deal,_nodeal 
3603,deal,_deal 
3613,deal,_deal 
3618,deal,_deal 
3624,no deal,_nodeal 
3643,thank you !,_deal 
3651,okay,_deal 
3653,"alright , sounds good . thank you !",_deal 
3655,"ouch , no deal",_nodeal 
3661,deal,_deal 
3673,deal,_deal 
3677,ok,_deal 
3682,deal,_deal 
3684,deal,_deal 
3690,deal,_deal 
3692,great,_deal 
3693,deal,_deal 
3705,great !,_deal 
3709,deal,_deal 
3715,1 hat and 1 ball for you ?,_offer (_hats:1 _balls:1) 
3718,deal,_deal 
3721,yes,_deal 
3755,< 3,_thanks 
3765,ok,_deal 
3769,deal,_deal 
3771,nah,_nodeal 
3781,no deal,_nodeal 
3782,no deal,_nodeal 
3785,no deal .,_nodeal 
3786,no deal .,_nodeal 
3787,no deal,_nodeal 
3792,nope,_nodeal 
3796,no deal .,_nodeal 
3797,no deal .,_nodeal 
3801,deal .,_deal 
3807,deal,_deal 
3810,yes,_deal 
3814,deal,_deal 
3817,sure,_deal 
3827,deal,_deal 
3828,book and ball to me,_need (_books:1 _balls:1) 
3831,all balls and one hat . deal ?,_misc (_hats:1 _balls:all) 
3840,sorry no deal,_nodeal 
3845,great,_deal 
3847,deal .,_deal 
3852,no ?,_nodeal 
3855,no deal,_nodeal 
3857,no deal,_nodeal 
3870,2 hats would be great,_need (_hats:2 ) 
3878,ball is the highest value item . ; the only way i can get rid of the ball is for everything else on the table .,_need (_balls:1) 
3885,deal,_deal 
3889,no deal,_nodeal 
3891,thx,_deal _thanks 
3895,no deal,_nodeal 
3896,no deal,_nodeal 
3900,no deal,_nodeal 
3901,no deal,_nodeal 
3903,2 balls,_misc (_balls:2) 
3904,2 balls,_misc (_balls:2) 
3905,2 balls,_misc (_balls:2) 
3914,no deal,_nodeal 
3917,balls are 0 for me .,_need (_balls:0) 
3919,no deal .,_nodeal 
3927,i agree .,_deal 
3930,no deal,_nodeal 
3931,deal,_deal 
3933,ball and two books ?,_need (_books:2 _balls:1) 
3939,yes,_deal 
3940,1 of each,_misc (_books:1 _hats:1 _balls:1) 
3945,ok,_deal 
3951,i can do that,_deal 
3955,and i'll take both books and one hat ?,_need (_books:2 _hats:1 ) 
3956,"ok , deal",_deal 
3960,yes,_deal 
3963,deal .,_deal 
3967,deal,_deal 
3968,4 / 1 items is not very fair . i will give you all 3 books if i can have the hat and the ball,_counteroffer _need (_hats:1 _balls:1) _offer (_books:3 ) 
3969,ball and hats for me,_need (_hats:all _balls:1) 
3970,1 ball and 1 hat for me,_need (_hats:1 _balls:1) 
3971,no deal then,_nodeal 
3972,ball and hat or both hats for me,_need (_hats:1 _balls:1) 
3982,hello,_greeting 
3985,yep,_deal 
3995,deal,_deal 
3998,great ! thank you !,_deal 
4002,thank you .,_deal 
4005,ok,_deal 
4009,ok deal,_deal 
4011,yes,_deal 
4014,deal,_deal 
4028,no way,_nodeal 
4038,no deal,_nodeal 
4042,ok,_deal 
4046,deal,_deal 
4048,okay,_deal 
4055,all of it,_misc (_books:all _hats:all _balls:all) 
4059,"ok , deal",_deal 
4067,deal,_deal 
4070,yes,_deal 
4075,no deal,_nodeal 
4076,no deal,_nodeal 
4077,deal,_deal 
4079,no deal,_nodeal 
4081,and the ball,_misc (_balls:1) 
4083,and the book or ball,_misc (_books:? _balls:?) 
4085,no,_nodeal 
4088,all hats,_misc (_hats:all ) 
4089,nope,_nodeal 
4094,deal,_deal 
4099,okay deal,_deal 
4103,ok,_deal 
4104,yes,_deal 
4107,ok,_deal 
4113,deal,_deal 
4122,deal,_deal 
4133,no deal,_nodeal 
4151,okay thank you !,_deal 
4153,ok deal,_deal 
4159,ok,_deal 
4163,deal,_deal 
4171,are you serious ? i just told you its worth 8 points for me why the hell would i take everything else ?,_nodeal 
4173,"aint doing me much good , gonna need that hat one way or another .",_counteroffer _need (_hats:1 ) 
4178,deal .,_deal 
4187,deal,_deal 
4194,deal,_deal 
4202,no deal,_nodeal 
4211,okay thank you !,_deal 
4214,deal .,_deal 
4217,agreed,_deal 
4220,yes,_deal 
4225,deal .,_deal 
4240,sounds good,_deal 
4242,alright . i'll keep the books .,_yes _need (_books:all ) 
4246,thanks,_deal _thanks 
4248,deal,_deal 
4259,deal,_deal 
4260,as long as i can keep the book .,_need (_books:1 ) 
4262,sounds good .,_deal 
4264,deal,_deal 
4276,deal .,_deal 
4280,2 hats and 1 ball for me - the rest for you,_need (_hats:2 _balls:1) _offer (_books:rest _hats:rest _balls:rest) 
4281,deal,_deal 
4285,deal .,_deal 
4290,ok,_deal 
4294,deal,_deal 
4295,deal !,_deal 
4301,no,_nodeal 
4304,"absolutely not . no way no how . jeez , wouldn't it be rotten if we wasted this whole entire time waiting to just get rejected for having different deals ?",_nodeal 
4309,no deal .,_nodeal 
4311,ok no deal,_nodeal 
4312,no deal,_nodeal 
4316,okay,_deal 
4317,okay,_deal 
4320,okay no deal .,_nodeal 
4321,no deal .,_nodeal 
4326,okay,_deal 
4328,okay,_deal 
4330,1 book,_misc (_books:1 ) 
4338,deal,_deal 
4343,deal,_deal 
4356,deal,_deal 
4360,okay,_deal 
4363,deal,_deal 
4366,"ok , deal",_deal 
4368,"and people in hell want ice water , best come up with some sort of offer .",_nodeal 
4371,i agree .,_deal 
4373,and two books and a hat ?,_misc (_books:2 _hats:1 ) 
4374,all the books and a ball .,_misc (_books:all _balls:1) 
4375,a ball and a hat ?,_misc (_hats:1 _balls:1) 
4381,no deal,_nodeal 
4408,i can't do that,_nodeal 
4413,deal,_deal 
4415,thank you .,_deal 
4417,nope,_nodeal 
4429,alright you take the ball and 1 hat . i will take the rest .,_need (_books:rest _hats:rest _balls:rest) _offer (_hats:1 _balls:1) 
4433,deal,_deal 
4435,deal,_deal 
4438,cool,_deal 
4444,deal .,_deal 
4446,ball and one hat for you ?,_offer (_hats:1 _balls:1) 
4463,okay deal .,_deal 
4466,never,_nodeal 
4469,no deal,_nodeal 
4470,yes,_deal 
4478,okay,_deal 
4479,deal,_deal 
4485,deal .,_deal 
4487,sounds good,_deal 
4489,books and balls to me,_need (_books:all _balls:all) 
4490,ok,_deal 
4494,okay deal,_deal 
4497,great,_deal 
4502,deal,_deal 
4505,no deal then,_nodeal 
4507,deal .,_deal 
4519,agreed if you take the hat and one book,_deal _offer (_books:1 _hats:1 ) 
4522,deal,_deal 
4525,no deal,_nodeal 
4526,no deal,_nodeal 
4527,no deal,_nodeal 
4529,no deal,_nodeal 
4530,no deal,_nodeal 
4531,no deal,_nodeal 
4532,no deal,_nodeal 
4539,okay great ! thank you !,_deal 
4555,yes .,_deal 
4562,deal,_deal 
4565,deal,_deal 
4581,deal,_deal 
4584,deal .,_deal 
4588,deal,_deal 
4593,deal,_deal 
4595,"book and hats to you , book and two balls to mw",_need (_books:1 _balls:2) _offer (_books:1 _hats:all ) 
4612,nope,_nodeal 
4616,no deal then,_nodeal 
4617,no deal,_nodeal 
4619,ok deal,_deal 
4621,no way,_nodeal 
4624,ball and hats for me,_need (_hats:all _balls:1) 
4625,balls and hats for me,_need (_hats:all _balls:all) 
4627,ok deal,_deal 
4629,okay thank you !,_deal 
4639,deal,_deal 
4645,thanks,_deal _thanks 
4647,ok,_deal 
4651,yes,_deal 
4654,deal,_deal 
4656,ok deal .,_deal 
4660,deal,_deal 
4667,deal,_deal 
4670,okay deal,_deal 
4672,thank you,_deal _thanks 
4673,okay deal .,_deal 
4677,ok,_deal 
4679,deal .,_deal 
4684,deal,_deal 
4687,ok,_deal 
4694,okay great ! thank you !,_deal 
4699,deal,_deal 
4702,thanks !,_deal _thanks 
4705,deal,_deal 
4707,ok,_deal 
4720,deal,_deal 
4721,sure,_deal 
4722,"all books to me , u have else",_need (_books:all ) _offer (_books:rest _hats:rest _balls:rest) 
4731,thanks .,_deal 
4733,1 of each ?,_misc (_books:1 _hats:1 _balls:1) 
4734,ok,_deal 
4739,ok,_deal 
4742,ok deal,_deal 
4746,deal,_deal 
4749,"alright , deal . thank you .",_deal _thanks 
4758,1 hat and 1 ball .,_misc (_hats:1 _balls:1) 
4759,"1 hat , 1 ball , no book , extra butter",_misc (_books:0 _hats:1 _balls:1) 
4760,2 hats no balls no books .,_misc (_books:0 _hats:2 _balls:0) 
4764,2 hats and one ball ?,_misc (_hats:2 _balls:1) 
4765,"1 hat , 1 ball , 2 books and a stick of butter",_misc (_books:2 _hats:1 _balls:1) 
4766,"1 hat , 1 ball , 1 book .",_misc (_books:1 _hats:1 _balls:1) 
4768,and 1 hat,_misc (_hats:1 ) 
4769,no deal .,_nodeal 
4772,yes,_deal 
4780,ok,_deal 
4781,deal,_deal 
4787,no deal,_nodeal 
4788,no deal,_nodeal 
4789,no deal,_nodeal 
4793,blah blah blah books .,_misc (_books:all ) 
4797,deal,_deal 
4800,"any chance you'll give me the hat and ball , you can keep all 4 books ?",_need (_hats:1 _balls:1) _offer (_books:all ) 
4807,deal,_deal 
4816,sure,_deal 
4817,deal !,_deal 
4818,hello,_greeting 
4821,deal .,_deal 
4831,2 books 1 ball for me and you keep the rest,_need (_books:2 _balls:1) _offer (_books:rest _hats:rest _balls:rest) 
4832,1 book and all hats for you,_offer (_books:1 _hats:all ) 
4837,okay no deal .,_nodeal 
4843,2 balls,_misc (_balls:2) 
4847,deal,_deal 
4849,ok deal,_deal 
4851,thanks !,_deal _thanks 
4853,deal !,_deal 
4855,deal .,_deal 
4857,deal .,_deal 
4858,"balls to you , i take rest",_need (_books:rest _hats:rest _balls:rest) _offer (_balls:all) 
4859,deal .,_deal 
4861,okay,_deal 
4863,sure,_deal 
4866,fine,_deal 
4869,thank you .,_deal 
4872,ok,_deal 
4877,deal,_deal 
4878,thx,_deal _thanks 
4883,ok .,_deal 
4886,okay deal,_deal 
4887,"before i say yes , any chance you can leave the hat and just take the books ? : )",_need (_hats:1 ) _offer (_books:all ) 
4891,okay,_deal 
4894,ok,_deal 
4898,deal,_deal 
4900,deal .,_deal 
4902,deal .,_deal 
4905,deal .,_deal 
4910,deal,_deal 
4925,no deal,_nodeal 
4936,no deal .,_nodeal 
4939,ok,_deal 
4948,alternatively i can take both hats and 1 book .,_need (_books:1 _hats:2 ) 
4950,deal,_deal 
4963,hello,_greeting 
4970,okay,_deal 
4972,deal,_deal 
4975,thanks,_deal _thanks 
4976,deal,_deal 
4977,"amusing . . . all hats for me , ball and book for you",_need (_hats:all ) _offer (_books:1 _balls:1) 
4979,deal,_deal 
4984,deal,_deal 
4989,deal .,_deal 
4993,deal,_deal 
5005,agreed upon,_deal 
5011,a hat for the ball ?,_need (_balls:1) _offer (_hats:1 ) 
5018,ok,_deal 
5019,deal,_deal 
5029,"all balls to me , you have rest",_need (_balls:all) _offer (_books:rest _hats:rest ) 
5030,ok deal,_deal 
5031,ball and 2 books please,_need (_books:2 _balls:1) 
5034,ok deal,_deal 
5037,deal .,_deal 
5043,"ok , deal",_deal 
5046,deal,_deal 
5048,"alright . i need the hat and all the balls , you can have the three books . deal ?",_yes _need (_hats:1 _balls:all) _offer (_books:3 ) 
5053,no deal,_nodeal 
5058,no deal,_nodeal 
5060,ok deal,_deal 
5063,yup,_deal 
5064,ok,_deal 
5068,yes,_deal 
5071,agree,_deal 
5076,no deal,_nodeal 
5083,sounds good,_deal 
5088,ok,_deal 
5090,deal .,_deal 
5107,deal,_deal 
5115,deal,_deal 
5125,ok deal,_deal 
5128,"alright 2 hats and 2 books for you , 2 balls and 1 book for me .",_yes _need (_hats:1 _balls:2) _offer (_books:2 _hats:2 ) 
5131,yes !,_deal 
5133,sounds good,_deal 
5134,thanks,_deal _thanks 
5136,okay,_deal 
5138,ok,_deal 
5140,ok,_deal 
5147,ok,_deal 
5148,deal,_deal 
5155,ok,_deal 
5157,sounds good,_deal 
5163,agreed,_deal 
5168,no deal,_nodeal 
5169,okay,_deal 
5176,yes,_deal 
5178,agreed,_deal 
5182,deal .,_deal 
5184,ok .,_deal 
5186,fine,_deal 
5203,deal,_deal 
5216,deal,_deal 
5218,yes,_deal 
5227,"book and balls to me , you can have 9 hats",_need (_books:1 _balls:all) _offer (_hats:9 ) 
5234,no,_nodeal 
5243,no deal,_nodeal 
5244,no deal,_nodeal 
5248,no deal,_nodeal 
5249,no deal,_nodeal 
5251,alright,_deal 
5253,okay thank you !,_deal 
5260,no deal,_nodeal 
5261,no deal,_nodeal 
5262,no deal,_nodeal 
5266,no deal .,_nodeal 
5267,no deal,_nodeal 
5271,no deal,_nodeal 
5272,deal,_deal 
5273,hello,_greeting 
5280,alright then . . i suppose i'll take the hats .,_yes _need (_hats:all ) 
5288,thanks,_deal _thanks 
5295,deal,_deal 
5297,ok deal,_deal 
5299,deal .,_deal 
5302,ok .,_deal 
5308,deal,_deal 
5320,2 books and a hat it is,_misc (_books:2 _hats:1 ) 
5321,4 balls for me,_need (_balls:4) 
5324,no deal .,_nodeal 
5325,2 books and a hat for me ?,_need (_books:2 _hats:1 ) 
5326,deal,_deal 
5329,deal .,_deal 
5330,deal,_deal 
5334,no deal,_nodeal 
5335,no deal,_nodeal 
5336,no deal,_nodeal 
5340,no deal .,_nodeal 
5341,no deal .,_nodeal 
5351,deal,_deal 
5353,ok,_deal 
5355,balls are worthless . i'll just take the 2 hats and you can have the rest .,_need (_hats:2 _balls:0) _offer (_books:rest _hats:rest _balls:rest) 
5358,okay,_deal 
5368,ok,_deal 
5383,okay,_deal 
5390,no,_nodeal 
5394,no deal .,_nodeal 
5395,no deal .,_nodeal 
5397,ok,_deal 
